id,dates,article,quantite,prix-achat,prix_vente,vendeur,client,quartier
RQ9991-RG,10/3/2018,ciment,759,12.99,305.81,Ana,Entrepreneur,Aflao Gakli
DH1271-TM,5/12/2019,acier,328,39.99,145.73,Ana,Particulier,Agbalépédogan
GB1938-ZY,3/4/2017,ciment,112,39.99,370.35,Carole,Entrepreneur,Agbalepedogan
GR2515-HB,10/3/2018,verre,59,49.99,116.8,Colette,Entrepreneur,Agbalepedogan
SC4024-ZC,7/8/2020,verre,761,14.99,258.22,Colette,Maçon,Agbalepedogan
RQ0072-QE,7/8/2020,brique,944,2.99,420.34,Carole,Entrepreneur,Agbalépédogan
PW2034-XW,1/1/2021,brique,541,2.09,132.21,Colette,Entrepreneur,Agbalépédogan
FQ4595-TO,1/1/2021,acier,867,69.99,294.22,Jean,Particulier,Bè
QN7012-GF,10/3/2018,acier,205,3.99,181.79,Julien,Maçon,Be Klikame
ZV7186-JM,1/1/2021,ciment,508,2.5,91.17,Ana,Maçon,Agbalépédogan
RA2590-YA,1/1/2021,verre,265,2.49,200.25,Jean,Maçon,Agbalepedogan
VD8757-JE,5/12/2019,acier,557,4.49,499.62,Carole,Maçon,Agbalepedogan
LG7190-IX,10/3/2018,verre,5,3.59,302.66,Ana,Entrepreneur,Bè
AE9998-MO,7/8/2020,bois,462,2.79,225.15,Ana,Entrepreneur,Bè
NM6386-CA,5/12/2019,bois,327,29.99,319.54,Jean,Entrepreneur,Agbalepedogan
PZ4141-PE,10/3/2018,acier,505,10.99,210.43,Jean,Entrepreneur,Agbalépédogan
WM8180-KK,7/8/2020,bois,636,1.99,428.45,Ana,Maçon,Agbalépédogan
PZ3712-YY,5/12/2019,bois,855,39.99,327.74,Luc,Maçon,Agbalépédogan
LI6538-JM,3/4/2017,acier,526,24.99,469.31,Ana,Maçon,Djidjolé
IO9229-VR,10/3/2018,verre,853,3.99,395.75,Colette,Maçon,Agbalépédogan
RF5937-NU,1/1/2021,acier,216,39.99,218.26,Colette,Particulier,Agbalepedogan
DO0654-VI,5/12/2019,verre,691,24.99,248.5,Jean,Maçon,Agoe
BH7740-WD,10/3/2018,verre,636,49.99,307.61,Julien,Entrepreneur,Agbalepedogan
XM1982-GQ,7/8/2020,acier,693,7.99,92.56,Jean,Entrepreneur,Agbalépédogan
MM7057-RS,3/4/2017,brique,634,69.99,358.2,Jean,Entrepreneur,Agbalepedogan
PY8480-KH,10/3/2018,bois,590,3.49,378.95,Ana,Maçon,Agbalepedogan
DC2092-IE,1/1/2021,acier,268,5.29,409.09,Luc,Entrepreneur,Agbalépédogan
VV3244-OY,7/8/2020,verre,151,24.99,493.46,Carole,Particulier,Djidjolé
WV0561-PJ,3/4/2017,ciment,864,59.99,180.35,Julien,Particulier,Agbalepedogan
PA7364-ST,10/3/2018,verre,401,12.99,87.13,Colette,Particulier,Agbalepedogan
YM4591-QR,3/4/2017,bois,42,22.99,110.72,Julien,Entrepreneur,Be Klikame
QL9205-DX,5/12/2019,verre,644,5.49,418.38,Luc,Entrepreneur,Djidjolé
